CMDLINE D:\Environments\venv\Scripts\python.exe model_trainer.py
MEM 3.371094 1708270741.6779
MEM 3.371094 1708270741.7866
MEM 3.371094 1708270741.8951
MEM 3.371094 1708270742.0041
MEM 3.371094 1708270742.1143
MEM 3.371094 1708270742.2241
MEM 3.371094 1708270742.3342
MEM 3.371094 1708270742.4443
MEM 3.371094 1708270742.5538
MEM 3.371094 1708270742.6645
MEM 3.371094 1708270742.7748
MEM 3.371094 1708270742.8858
MEM 3.371094 1708270742.9966
MEM 3.371094 1708270743.1088
MEM 3.371094 1708270743.2193
MEM 3.371094 1708270743.3346
MEM 3.371094 1708270743.4444
MEM 3.371094 1708270743.5548
MEM 3.371094 1708270743.6651
MEM 3.371094 1708270743.7752
MEM 3.371094 1708270743.8852
MEM 3.371094 1708270743.9953
MEM 3.371094 1708270744.1055
MEM 3.371094 1708270744.2163
MEM 3.371094 1708270744.3228
MEM 3.371094 1708270744.4327
MEM 3.371094 1708270744.5430
MEM 3.371094 1708270744.6531
MEM 3.371094 1708270744.7631
MEM 3.371094 1708270744.8731
MEM 3.371094 1708270744.9832
MEM 3.371094 1708270745.0930
MEM 3.371094 1708270745.2046
MEM 3.371094 1708270745.3195
MEM 3.371094 1708270745.4293
MEM 3.371094 1708270745.5391
MEM 3.371094 1708270745.6489
MEM 3.371094 1708270745.7582
MEM 3.371094 1708270745.8680
MEM 3.371094 1708270745.9778
MEM 3.371094 1708270746.0876
MEM 3.371094 1708270746.1983
MEM 3.371094 1708270746.3081
MEM 3.371094 1708270746.4166
MEM 3.371094 1708270746.5262
MEM 3.371094 1708270746.6341
MEM 3.371094 1708270746.7344
MEM 3.371094 1708270746.8349
MEM 3.371094 1708270746.9355
MEM 3.371094 1708270747.0359
MEM 3.371094 1708270747.1457
MEM 3.371094 1708270747.2461
MEM 3.371094 1708270747.3560
MEM 3.371094 1708270747.4658
MEM 3.371094 1708270747.5664
MEM 3.371094 1708270747.6670
MEM 3.371094 1708270747.7679
MEM 3.371094 1708270747.8722
MEM 3.371094 1708270747.9734
MEM 3.371094 1708270748.0740
MEM 3.371094 1708270748.1761
MEM 3.371094 1708270748.2767
MEM 3.371094 1708270748.3779
MEM 3.371094 1708270748.4783
MEM 3.371094 1708270748.5793
